pkg_Title_ID	Region	Title_RIF_Missing	pkg_link	License	pkg_Content_ID			pkg_File_Size
NPJB00576	JP	[*RAP MISSING][PS3]ハーレム天国だと思ったらヤンデレ地獄だった。     [ID:NPJB00576-HAREYAN000000000]	http://zeus.dl.playstation.net/cdn/JP0404/NPJB00576_00/DoICeYHXKSytqvspELsbXToMHyRQjZnmrrHoiAcUwOjUBXylHngsxerwojGyVhWfGlSUtdEYJjslKFWCIZZDKJBKqiRWXpKMbaleO.pkg	UNLOCK BY RIF	JP0404-NPJB00576_00-HAREYAN000000000			3310852912
NPEB01095	EU	[*RAP MISSING][PS3]Dragon Age™: Inquisition     [ID:NPEB01095-DAINQUISITION000]	http://hfs.dl.playstation.net/cdn/EP0006/NPEB01095_00/EP0006-NPEB01095_00-DAINQUISITION000_hmOD6yESUBHlUOgSlHOk5EHa1YSNo1NCo6SyzgjaFoapCF1V7qESYMJr7kUWNG2H.pkg.xml	UNLOCK BY RIF	EP0006-NPEB01095_00-DAINQUISITION000			21335146320
NPHA80258	ASIA	[*RAP MISSING][PS3]God of War: Ascension™     [ID:NPHA80258-GOWADIGITALVERS1]	http://hfs.dl.playstation.net/cdn/HP9000/NPHA80258_00/HP9000-NPHA80258_00-GOWADIGITALVERS1_OoTZcb9WUOPVWeuhJdeSqCQUEzcF9B6gnsQnm64GkNLyIgtLvtiW3QimIjLZFMkY.pkg.xml	UNLOCK BY RIF	HP9000-NPHA80258_00-GOWADIGITALVERS1			36114255264
NPHB00491	ASIA	[*RAP MISSING][PS3]BATTLEFIELD 3™     [ID:NPHB00491-BF30000000000000]	http://zeus.dl.playstation.net/cdn/HP0006/NPHB00491_00/jNVZXtRrLbBopiMGjlykakNZNYYWdwXDAFojPlHowvYQGVIZgQHShhWLCmZHDsAwccYUkSVASIqXolSyUNNgczcGqLpVBPqsHNHvO.pkg	UNLOCK BY RIF	HP0006-NPHB00491_00-BF30000000000000			12154616736
NPHA80004	ASIA	[*RAP MISSING][PS3]BuuBuu Cocoreccho!™     [ID:NPHA80004-LOCOROCOASIA0001]	http://zeus.dl.playstation.net/cdn/HP9000/NPHA80004_00/CfCcdmTk1NuJr87jMEjcj5QTAsBPBbbHe5TstExG9YcHXHDm56p7evjQb0xvmabTySvhvHEoHied1fjTf5cchkCA6sO49M2gX5mp9.pkg	UNLOCK BY RIF	HP9000-NPHA80004_00-LOCOROCOASIA0001			210888176
NPHA80161	ASIA	[*RAP MISSING][PS3]LittleBigPlanet™2 Digital Version     [ID:NPHA80161-GLITTLEBIG000001]	http://zeus.dl.playstation.net/cdn/HP9000/NPHA80161_00/bpNKadQdNKKQdGmmihrbxYWuNUdlsTLECZfoNNZJpoCSheJwAbtNFZnOXsLrACOGaXnhhPCBnjaKXnFWFijCosarMETUDFuJLaMyf.pkg	UNLOCK BY RIF	HP9000-NPHA80161_00-GLITTLEBIG000001			4721472992
NPHA80226	ASIA	[*RAP MISSING][PS3]Starhawk™ (Solo Campaign)     [ID:NPHA80226-STARHAWKSPPKG001]	http://zeus.dl.playstation.net/cdn/HP9000/NPHA80226_00/XbKLLXbYUyUjPsGJxhMRimsfmsQfUGCKnPtpcbUaMBmmqiLbBKPICDAoJXhHLwmKxbXDbAHTBaDAORuKUlblWUxySvswvjYIBUGGG.pkg	UNLOCK BY RIF	HP9000-NPHA80226_00-STARHAWKSPPKG001			9810929360
NPHI00021	ASIA	[*RAP MISSING][PSX]My Hot Cooking     [ID:NPHI00021-0000000000000001]	http://zeus.dl.playstation.net/cdn/HP9000/NPHI00021_00/PLCNHBaEqt7BSubRJA2nTIaAR9C1GJR8IHdpQqGS4TTe5aHnGvl25UMtPHmhJhxwK6nC1OwNa3ixjDUQ1YUf5olk7p59v4a6SsPjq.pkg	UNLOCK BY RIF	HP9000-NPHI00021_00-0000000000000001			336811984
NPED00103	EU	[PS2]Need for Speed Most Wanted     [ID:NPED00103-GNEEDFORSP000ENG]	http://zeus.dl.playstation.net/cdn/EP0006/NPED00103_00/oHySWZomujFavFVkZVrnCYXBzgwYSnzEyIEpErjQZJrLnGwsXhsiMMZYSqiWzgmK.pkg	89f70b75965a306bd4acf07af87d866e	EP0006-NPED00103_00-GNEEDFORSP000ENG			3727077792
NPED00074	EU	[PS2]Just Cause     [ID:NPED00074-GJUSTCAUSE000ENG]	http://zeus.dl.playstation.net/cdn/EP0082/NPED00074_00/VoMyrXCrWATePvUyryZuDHHxDALraMWTDGFGwFnaHKyopFrDccwRrCTXAvAPxcje.pkg	7340a38ca7b22cc04f12c0be3e0858e9	EP0082-NPED00074_00-GJUSTCAUSE000ENG			3664353264
